expense_id,employee,department,expense_date,amount_usd,currency,category,merchant,invoice_no,invoice_city,trip_to_city,approver,paid_amount_usd
E3UEGI3EQ,Will,R&D,2024-01-01,47.67,USD,Meal,City Taxi,INV-823183,Dallas,Dallas,Mgr_Amy,47.67
E46QS1EKH,Olivia,Marketing,2024-01-01,195.54,USD,Hotel,Tech Supplies,INV-823183,Boston,Seattle,Mgr_Carl,195.54
ENUFRECJ9,Rose,Finance,2024-01-01,73.3,USD,Meal,Green Hotel,INV-651641,San Francisco,San Francisco,Mgr_Carl,73.3
EIPGQLX1Q,Tyler,Marketing,2024-01-01,154.12,USD,Client Gift,Metro Coffee,INV-476719,San Francisco,San Francisco,Mgr_Erin,154.12
ERFD1U71D,Peter,Finance,2024-01-01,45.29,USD,Meal,Green Hotel,INV-835646,Boston,Houston,Mgr_Ben,45.29
E3YE4MX6R,Delia,Marketing,2024-01-01,657.12,USD,Air,City Taxi,INV-800846,Los Angeles,Los Angeles,Mgr_Amy,657.12
E3G2R1WEO,Mason,HR,2024-01-01,198.65,USD,Hotel,Tech Supplies,INV-456572,San Francisco,San Francisco,Mgr_Carl,198.65
EHS2HKGBY,Rose,Sales,2024-01-01,206.57,USD,Hotel,Sky Airlines,INV-639019,Los Angeles,Los Angeles,Mgr_Duke,206.57
ETEAANXSG,Faith,Marketing,2024-01-01,22.7,USD,Meal,Tech Supplies,INV-651641,Dallas,Dallas,Mgr_Carl,22.7
EWJZCJS4Y,Peter,Marketing,2024-01-01,67.06,USD,Meal,Sky Airlines,INV-695447,Chicago,Chicago,Mgr_Amy,67.06
EZBMMYR6X,Zack,Sales,2024-01-01,605.86,USD,Air,Sky Airlines,INV-755985,Seattle,Seattle,Mgr_Carl,605.86
EDO0P61L7,Sophie,Sales,2024-01-01,208.65,USD,Hotel,Tech Supplies,INV-470571,Chicago,Chicago,Mgr_Amy,208.65
E08VXQWME,Gavin,Sales,2024-01-01,287.43,USD,Hotel,City Taxi,INV-155927,Seattle,Seattle,Mgr_Ben,287.43
EL89G0UBC,Queen,Finance,2024-01-02,18.17,USD,Meal,City Taxi,INV-694744,Dallas,Dallas,Mgr_Ben,18.17
EOLR7KZUZ,Faith,Marketing,2024-01-02,49.99,USD,Meal,Metro Coffee,INV-904112,Boston,Boston,Mgr_Duke,49.99
EY6DCV77I,Olivia,Marketing,2024-01-02,15.39,USD,Meal,Sky Airlines,INV-139999,San Francisco,San Francisco,Mgr_Amy,15.39
EQUPACJEO,Alice,Marketing,2024-01-02,18.44,USD,Transport,Green Hotel,INV-182682,Atlanta,Chicago,Mgr_Duke,18.44
EQQK7U9WF,Jade,Marketing,2024-01-02,119.17,USD,Client Gift,Sky Airlines,INV-102828,Atlanta,Atlanta,Mgr_Amy,119.17
EL6DBZ81B,Laura,R&D,2024-01-02,225.28,USD,Hotel,Metro Coffee,INV-446346,Dallas,Dallas,Mgr_Erin,225.28
E4BNDJ9Q6,Alice,Sales,2024-01-02,66.3,USD,Meal,Sky Airlines,INV-974363,Atlanta,Atlanta,Mgr_Duke,66.3
E2HF0L53I,Owen,Sales,2024-01-02,181.78,USD,Office,Happy Noodles,INV-436884,Los Angeles,Houston,Mgr_Ben,181.78
E2PLQYYEE,Alice,Sales,2024-01-02,69.63,USD,Meal,Metro Coffee,INV-245999,Houston,Houston,Mgr_Amy,69.63
EWGLKQ57X,Rose,R&D,2024-01-03,95.4,USD,Office,Tech Supplies,INV-446346,New York,New York,Mgr_Carl,95.4
EBHDDXVEJ,Vince,Marketing,2024-01-03,176.37,USD,Client Gift,City Taxi,INV-173551,Los Angeles,Los Angeles,Mgr_Carl,176.37
EU0ONCTEU,Vince,R&D,2024-01-03,14.34,USD,Transport,Tech Supplies,INV-485532,Los Angeles,Los Angeles,Mgr_Carl,14.34
E0KRZMV0M,Miles,R&D,2024-01-03,169.25,USD,Office,Sky Airlines,INV-326626,Miami,Miami,Mgr_Carl,169.25
ECXVUNUI9,Mason,R&D,2024-01-03,212.92,USD,Hotel,Metro Coffee,INV-789309,Los Angeles,Los Angeles,Mgr_Ben,212.92
EO94B964G,Uma,R&D,2024-01-03,40.54,USD,Office,Happy Noodles,INV-908485,New York,New York,Mgr_Duke,40.54
ESTKMYXEM,Rose,R&D,2024-01-03,181.29,USD,Office,Green Hotel,INV-388324,Seattle,Houston,Mgr_Amy,181.29
EJCBPQ6NU,Kevin,HR,2024-01-04,356.72,USD,Office,City Taxi,INV-764277,San Francisco,San Francisco,Mgr_Erin,356.72
EDVK67K7O,Lena,Sales,2024-01-04,287.09,USD,Air,Green Hotel,INV-555408,San Francisco,San Francisco,Mgr_Carl,287.09
EMRRKMUE7,Irene,HR,2024-01-04,366.94,USD,Office,Sky Airlines,INV-642505,Boston,Boston,Mgr_Ben,316.94
E8VB2E205,Victor,Sales,2024-01-04,437.61,USD,Air,Green Hotel,INV-581924,Los Angeles,Los Angeles,Mgr_Amy,437.61
EDZVTYF75,Paula,HR,2024-01-04,266.17,USD,Hotel,Happy Noodles,INV-153715,Los Angeles,Los Angeles,Mgr_Amy,266.17
EEON4AAZ7,Wendy,HR,2024-01-05,219.97,USD,Hotel,Tech Supplies,INV-691913,Chicago,New York,Mgr_Amy,219.97
ESS67LYIG,Tina,R&D,2024-01-05,59.7,USD,Meal,Sky Airlines,INV-403645,San Francisco,San Francisco,Mgr_Duke,59.7
ET4N41YW7,Lena,Finance,2024-01-05,205.21,USD,Office,City Taxi,INV-309114,Houston,Houston,Mgr_Ben,205.21
EB82SBP30,Irene,HR,2024-01-05,253.04,USD,Meal,Happy Noodles,INV-DD-80032,Atlanta,Miami,Mgr_Erin,253.04
ELPLBM20S,Jade,HR,2024-01-05,15.78,USD,Meal,Green Hotel,INV-903036,Seattle,Seattle,Mgr_Duke,15.78
EC3HHVLB6,Irene,HR,2024-01-05,253.04,USD,Meal,Happy Noodles,INV-DD-44137,Atlanta,Miami,Mgr_Duke,253.04
EVHM6AOQF,Victor,Marketing,2024-01-05,211.49,USD,Hotel,Green Hotel,INV-121936,New York,New York,Mgr_Duke,211.49
E34FBTPMX,Diana,Sales,2024-01-06,170.12,USD,Air,Tech Supplies,INV-329478,Seattle,Los Angeles,Mgr_Erin,170.12
ETE5734HI,Diana,R&D,2024-01-06,315.83,USD,Office,Tech Supplies,INV-828773,Chicago,Chicago,Mgr_Erin,315.83
E4R7EWK10,Aaron,Marketing,2024-01-06,86.97,USD,Client Gift,Tech Supplies,INV-115816,San Francisco,Atlanta,Mgr_Amy,86.97
EYV0PQ9R3,Ursula,R&D,2024-01-06,181.43,USD,Office,City Taxi,INV-146058,Seattle,Seattle,Mgr_Erin,181.43
EQJDYNG6B,Ivan,Marketing,2024-01-06,414.91,USD,Air,Metro Coffee,INV-642602,Seattle,Seattle,Mgr_Carl,414.91
EIVFJN80K,Wendy,Marketing,2024-01-06,35.06,USD,Meal,Metro Coffee,INV-923189,Atlanta,Atlanta,Mgr_Carl,35.06
E0WJU2QL0,Bella,Sales,2024-01-06,281.83,USD,Hotel,Metro Coffee,INV-250302,Chicago,Chicago,Mgr_Ben,281.83
ERQXK2EYQ,Mason,Sales,2024-01-06,245.3,USD,Hotel,Sky Airlines,INV-335621,Atlanta,Atlanta,Mgr_Carl,245.3
EB8H98JSO,Sam,R&D,2024-01-06,247.2,USD,Hotel,Green Hotel,INV-937150,Los Angeles,San Francisco,Mgr_Erin,247.2
EO23JTYVE,Paula,R&D,2024-01-07,61.36,USD,Office,City Taxi,INV-168210,San Francisco,San Francisco,Mgr_Erin,61.36
E5BQ3QJPV,Carter,R&D,2024-01-07,370.39,USD,Office,Sky Airlines,INV-260834,Houston,Houston,Mgr_Duke,370.39
EUQJ8CLNQ,Carter,Sales,2024-01-07,609.82,USD,Air,City Taxi,INV-100672,New York,New York,Mgr_Ben,609.82
